Date,Order_ID,Customer_ID,Category,Product,Quantity,Price,Revenue,Region
2024-01-03,ORD02903,CUST1320,Electronics,Smartwatch,2,25372.45,50744.89,East
2024-01-05,ORD04152,CUST2615,Clothing,Jacket,4,1076.79,4307.15,East
2024-01-09,ORD02605,CUST2054,Electronics,Smartwatch,2,41118.36,82236.71,West
2024-01-11,ORD04726,CUST2715,Electronics,Tablet,1,49202.08,49202.08,South
2024-01-18,ORD04777,CUST2246,Electronics,Smartwatch,3,45349.36,136048.07,South
2024-01-19,ORD03627,CUST2006,Clothing,Shoes,1,4612.62,4612.62,South
2024-01-23,ORD04979,CUST1595,Sports,Running Shoes,1,5999.42,5999.42,North
2024-01-25,ORD04130,CUST2479,Sports,Bicycle,1,3727.54,3727.54,North
2024-01-27,ORD02715,CUST2090,Clothing,Jeans,1,3899.25,3899.25,North
2024-01-29,ORD02912,CUST2388,Clothing,Jacket,1,995.61,995.61,West
2024-01-29,ORD02328,CUST2259,Electronics,Smartphone,1,59525.93,59525.93,East
2024-02-02,ORD03218,CUST1252,Electronics,Headphones,1,25011.63,25011.63,Central
2024-02-11,ORD01922,CUST2786,Home & Kitchen,Air Fryer,5,6103.01,30515.07,East
2024-02-15,ORD02612,CUST2246,Home & Kitchen,Cookware,1,1564.7,1564.7,West
2024-02-17,ORD04412,CUST1276,Electronics,Tablet,1,68541.16,68541.16,West
2024-02-18,ORD02633,CUST1528,Books,Biography,2,929.85,1859.7,North
2024-02-19,ORD00822,CUST1585,Books,Textbook,2,475.48,950.95,West
2024-02-21,ORD01427,CUST2537,Clothing,Jeans,5,2442.66,12213.32,West
2024-02-21,ORD00209,CUST2973,Books,Non-Fiction,4,1258.22,5032.9,North
2024-02-22,ORD01902,CUST1050,Sports,Running Shoes,5,1503.04,7515.18,North
2024-02-23,ORD03318,CUST1882,Electronics,Laptop,2,64542.83,129085.66,West
2024-02-24,ORD02295,CUST1655,Books,Biography,1,1340.94,1340.94,Central
2024-02-24,ORD00073,CUST2749,Electronics,Tablet,2,41312.98,82625.95,East
2024-02-25,ORD01484,CUST2368,Electronics,Headphones,1,7623.69,7623.69,West
2024-02-26,ORD04901,CUST2797,Home & Kitchen,Vacuum,1,9191.77,9191.77,North
2024-02-28,ORD01169,CUST2319,Home & Kitchen,Cookware,1,5996.44,5996.44,West
2024-02-28,ORD03913,CUST1212,Clothing,Dress,1,629.82,629.82,South
2024-02-28,ORD04504,CUST2807,Electronics,Tablet,4,31471.9,125887.62,West
2024-03-01,ORD00129,CUST2449,Home & Kitchen,Air Fryer,1,9676.47,9676.47,West
2024-03-01,ORD04771,CUST1962,Home & Kitchen,Blender,1,10732.96,10732.96,North
2024-03-01,ORD03745,CUST2068,Books,Biography,1,1601.88,1601.88,East
2024-03-04,ORD02296,CUST1559,Books,Biography,3,1151.02,3453.06,South
2024-03-04,ORD01516,CUST2308,Electronics,Headphones,2,58827.75,117655.5,East
2024-03-05,ORD02762,CUST1643,Electronics,Headphones,2,65158.73,130317.47,West
2024-03-07,ORD03099,CUST1764,Electronics,Smartwatch,4,46184.61,184738.45,North
2024-03-07,ORD03314,CUST2066,Electronics,Tablet,2,24289.99,48579.99,North
2024-03-09,ORD02529,CUST1614,Clothing,Jacket,1,3385.47,3385.47,East
2024-03-10,ORD03108,CUST2673,Sports,Tennis Racket,3,5159.37,15478.12,North
2024-03-10,ORD02819,CUST1039,Electronics,Tablet,2,9480.38,18960.76,South
2024-03-11,ORD01887,CUST2905,Sports,Bicycle,1,6452.19,6452.19,Central
2024-03-11,ORD00206,CUST2176,Clothing,Dress,2,976.08,1952.17,Central
2024-03-13,ORD03272,CUST2292,Sports,Running Shoes,2,2556.47,5112.95,Central
2024-03-13,ORD04757,CUST1089,Clothing,Dress,2,2056.34,4112.68,South
2024-03-13,ORD02693,CUST1447,Books,Non-Fiction,2,1079.36,2158.73,West
2024-03-13,ORD01284,CUST2186,Electronics,Smartphone,2,72090.41,144180.83,South
2024-03-14,ORD02350,CUST2877,Clothing,Shoes,1,4316.61,4316.61,South
2024-03-15,ORD03711,CUST2677,Electronics,Smartwatch,1,69465.9,69465.9,East
2024-03-16,ORD04688,CUST1699,Home & Kitchen,Cookware,5,9672.94,48364.69,East
2024-03-16,ORD00408,CUST1010,Clothing,Shoes,2,648.27,1296.53,East
2024-03-16,ORD03783,CUST1840,Books,Textbook,2,1563.24,3126.48,West
2024-03-17,ORD00946,CUST2292,Electronics,Smartphone,1,73731.66,73731.66,North
2024-03-17,ORD01744,CUST2105,Electronics,Headphones,1,51477.19,51477.19,Central
2024-03-18,ORD03965,CUST1661,Electronics,Smartwatch,1,26187.94,26187.94,Central
2024-03-18,ORD00457,CUST2852,Electronics,Laptop,1,19128.88,19128.88,Central
2024-03-19,ORD02361,CUST1514,Electronics,Laptop,5,44688.08,223440.42,Central
2024-03-19,ORD02978,CUST1026,Sports,Yoga Mat,2,8160.72,16321.43,West
2024-03-19,ORD01265,CUST1330,Electronics,Tablet,2,34184.23,68368.45,West
2024-03-21,ORD03008,CUST1786,Books,Non-Fiction,2,1312.97,2625.94,South
2024-03-21,ORD00471,CUST2794,Home & Kitchen,Air Fryer,2,9191.09,18382.18,South
2024-03-21,ORD01800,CUST1054,Sports,Yoga Mat,3,4401.74,13205.22,East
2024-03-21,ORD02818,CUST1288,Electronics,Smartphone,1,47354.65,47354.65,North
2024-03-21,ORD01753,CUST1711,Electronics,Smartphone,1,34756.32,34756.32,South
2024-03-22,ORD02225,CUST2590,Clothing,Shoes,4,1766.91,7067.63,South
2024-03-22,ORD02132,CUST2602,Clothing,Jacket,3,1970.95,5912.86,North
2024-03-23,ORD04156,CUST2240,Clothing,Jeans,2,2818.37,5636.74,East
2024-03-24,ORD00841,CUST1066,Home & Kitchen,Blender,1,9818.89,9818.89,West
2024-03-24,ORD04813,CUST1501,Clothing,Jacket,4,1997.63,7990.52,South
2024-03-24,ORD00899,CUST1660,Clothing,Dress,4,1189.83,4759.33,South
2024-03-26,ORD04097,CUST2427,Home & Kitchen,Coffee Maker,1,6826.11,6826.11,South
2024-03-26,ORD04547,CUST2008,Clothing,Jacket,1,2832.29,2832.29,South
2024-03-26,ORD03118,CUST1057,Sports,Dumbbells,2,5070.87,10141.74,Central
2024-03-28,ORD02534,CUST1983,Electronics,Smartwatch,3,56902.3,170706.91,Central
2024-03-28,ORD00333,CUST1966,Books,Non-Fiction,1,748.14,748.14,West
2024-03-28,ORD03420,CUST2482,Sports,Dumbbells,1,7965.37,7965.37,South
2024-03-29,ORD02683,CUST1343,Electronics,Smartwatch,2,49007.51,98015.01,Central
2024-03-29,ORD00564,CUST2027,Sports,Tennis Racket,1,6710.89,6710.89,North
2024-03-30,ORD03067,CUST1757,Electronics,Smartphone,3,20984.21,62952.63,Central
2024-03-31,ORD00245,CUST1233,Home & Kitchen,Vacuum,1,9494.03,9494.03,North
2024-03-31,ORD03088,CUST1769,Sports,Bicycle,1,9119.02,9119.02,North
2024-04-02,ORD04056,CUST1110,Home & Kitchen,Coffee Maker,2,3465.2,6930.41,South
2024-04-03,ORD04136,CUST1859,Electronics,Tablet,1,45820.39,45820.39,Central
2024-04-04,ORD03946,CUST1736,Clothing,T-Shirt,1,1059.08,1059.08,North
2024-04-04,ORD00172,CUST2712,Electronics,Smartwatch,1,38013.52,38013.52,South
2024-04-05,ORD02704,CUST2552,Books,Non-Fiction,2,623.93,1247.85,East
2024-04-06,ORD02709,CUST1539,Home & Kitchen,Blender,2,5208.78,10417.55,South
2024-04-07,ORD01074,CUST1255,Home & Kitchen,Vacuum,1,9570.33,9570.33,South
2024-04-07,ORD02213,CUST2588,Home & Kitchen,Cookware,1,5825.42,5825.42,East
2024-04-08,ORD01514,CUST1580,Clothing,Dress,1,3785.88,3785.88,Central
2024-04-08,ORD00795,CUST1591,Sports,Tennis Racket,2,8212.22,16424.45,South
2024-04-08,ORD00937,CUST1300,Electronics,Laptop,1,6500.88,6500.88,South
